N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
1;TRUE;"Si le site contient des catégories et sous-catégories, est-ce que l'architecture des URLs est en harmonie avec l'architecture de la navigation ?";Réussi;;Screaming Frog;"";Architecture;0
2;TRUE;"Est-ce que certaines pages ne méritent pas d'exister (et de faire partie de la navigation) ?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Architecture;1
3;TRUE;"S'il y a une navigation à facettes ou avec filtres et si cela génère des URLs uniques, est-ce qu'une url canonique est déclarée?";Réussi;;Screaming Frog;"";Architecture;0
4;TRUE;"Si le site utilise un système de pagination, est-ce que certaines pages paginées retournent un code réponse différent de 200 ?";Réussi;;Screaming Frog;"";Pagination;0
5;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien ordonnées (N-1 > N > N+1)?";Réussi;;Screaming Frog;"";Pagination;0
6;TRUE;"Si le site utilise un système de pagination, est-ce que les instructions prev/next indiquent bien qu'une seule URL précedent et suivante?";Réussi;;Screaming Frog;"";Pagination;0
7;TRUE;"Si le site utilise un système de pagination, est-ce que chaque page paginée indique correctement l'URL canonique (self canonical)?";Réussi;;Screaming Frog;"";Pagination;0
8;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien en index, follow?";Réussi;;Screaming Frog;"";Pagination;0
9;TRUE;"Est-ce que certaines pages sont trop profondes (au délà de 3 clics à partir de la page d'accueil)?";Réussi;;Screaming Frog;"";Maillage interne;0
10;TRUE;"Est-ce que les pages qui reçoivent le plus de liens internes sont celles qui ciblent les mots clés les plus importants pour le site?";Réussi;;Screaming Frog;"";Maillage interne;0
11;TRUE;"Existe-t-il des pages orphelines?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Maillage interne;1
12;TRUE;"Existe t-il des pages avec une balise <title> manquante";Réussi;;Screaming Frog;"";Title;0
13;TRUE;"Y'a t-il des pages avec balises <title> dupliquées?";Réussi;;Screaming Frog;"";Title;0
14;TRUE;"Y'a t-il des pages avec balises Title dont le nombre de pixels est supérieur à 512?";Réussi;;Screaming Frog;"";Title;0
15;TRUE;"Y'a t-il des pages avec balises Title possédant moins de 30 caractères";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Title;1
16;TRUE;"Est-ce que sur les pages les plus importantes, la balise Title inclut une fois le mot clé principal?";Réussi;;Screaming Frog;"";Title;0
17;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé est placé au début dans la balise Title?";Réussi;;Screaming Frog;"";Title;0
18;TRUE;"Y'a t-il des pages ayant une balise meta description manquante ou vide";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Meta Description;1
19;TRUE;"Y'a t-il des pages ayant une balise meta description dupliquée?";Réussi;;Screaming Frog;"";Meta Description;0
20;TRUE;"Y'a t-il des pages dont la balise meta description contient plus de 835 pixels?";Réussi;;Screaming Frog;"";Meta Description;0
21;TRUE;"Y'a t-il des pages avec une balise meta description possédant moins de 70 caractères";Réussi;;Screaming Frog;"";Meta Description;0
22;TRUE;"Est-ce que sur les pages les plus importantes, la balise Meta description contient le mot clé principal?";Réussi;;Screaming Frog;"";Meta Description;0
23;TRUE;"Y'a t-il des pages avec balises H1 manquantes ou vides?";Réussi;;Screaming Frog;"";H1;0
24;TRUE;"Y'a t-il des pages avec des balises H1 identiques / dupliquées";Réussi;;Screaming Frog;"";H1;0
25;TRUE;"Y'a t-il des pages avec balises H1 dépassant les 70 caractères";Réussi;;Screaming Frog;"";H1;0
26;TRUE;"Y'a t-il des pages contenant plusieurs balises H1";Réussi;;Screaming Frog;"";H1;0
27;TRUE;"Y'a t-il des pages avec balises H2 manquantes ou vides qui devraient pourtant en tirer profit?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";H2;1
28;TRUE;"Y'a t-il des pages avec balises H2 dépassant les 70 caractères";Réussi;;Screaming Frog;"";H2;0
29;TRUE;"Est-ce que les pages importantes sont bien structurées à l'aide des balises Hn?";Réussi;;Screaming Frog;"";Structure;0
30;TRUE;"Y'a t-il des balises Hn de très petite taille?";Réussi;;Screaming Frog;"";Structure;0
31;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans les 100 premiers mots de la page?";Réussi;;Screaming Frog;"";Contenu;0
32;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé est inclus dans les 150 derniers mots?";Réussi;;Screaming Frog;"";Contenu;0
33;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans la balise H1?";Réussi;;Screaming Frog;"";Contenu;0
34;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans au moins une balise H2?";Réussi;;Screaming Frog;"";Contenu;0
35;TRUE;"Le site utilise t-il des données structurées?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Schema;1
36;TRUE;"Y'a t-il des problèmes liés aux données structurées?";Réussi;;Screaming Frog;"";Schema;0
37;TRUE;"Est-ce que le poids de toutes les images est inférieur à 100 ko?";Réussi;;Screaming Frog;"";Images;0
38;TRUE;"Est-ce que sur les pages les plus importantes, les noms de chaque image décrivent bien les images?";Réussi;;Screaming Frog;"";Images;0
39;TRUE;"Est-ce que toutes les images utilisent des attributs ALT dans la balise img?";Réussi;;Screaming Frog;"";Images;0
40;TRUE;"Est-ce que les attributs ALT sont bien traduits dans chaque langue?";Réussi;;Screaming Frog;"";Images;0
41;TRUE;"Est-ce que les URLs des pages localisées sont bien traduites?";Réussi;;Screaming Frog;"";International;0
