N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
1;TRUE;"Si le site contient des catégories et sous-catégories, est-ce que l'architecture des URLs est en harmonie avec l'architecture de la navigation ?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Architecture;1
2;TRUE;"Est-ce que certaines pages ne méritent pas d'exister (et de faire partie de la navigation) ?";Échoué;;Screaming Frog;"17 URL(s) concernée(s)";Architecture;17
3;TRUE;"S'il y a une navigation à facettes ou avec filtres et si cela génère des URLs uniques, est-ce qu'une url canonique est déclarée?";Échoué;;Screaming Frog;"37 URL(s) concernée(s)";Architecture;37
4;TRUE;"Si le site utilise un système de pagination, est-ce que certaines pages paginées retournent un code réponse différent de 200 ?";Réussi;;Screaming Frog;"Toutes les pages paginées doivent être accessibles";Pagination;0
5;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien ordonnées (N-1 > N > N+1)?";Réussi;;Screaming Frog;"Vérifier la logique de navigation entre pages";Pagination;0
6;TRUE;"Si le site utilise un système de pagination, est-ce que les instructions prev/next indiquent bien qu'une seule URL précédent et suivante?";Réussi;;Screaming Frog;"Rel prev/next pour optimiser le crawl";Pagination;0
7;TRUE;"Si le site utilise un système de pagination, est-ce que chaque page paginée indique correctement l'URL canonique (self canonical)?";Réussi;;Screaming Frog;"Self-referencing canonical sur chaque page";Pagination;0
8;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien en index, follow?";Réussi;;Screaming Frog;"Éviter noindex sur pages paginées";Pagination;0
9;TRUE;"Est-ce que certaines pages sont trop profondes (au delà de 3 clics à partir de la page d'accueil)?";Échoué;;Screaming Frog;"410 URL(s) concernée(s)";Maillage interne;410
10;TRUE;"Est-ce que les pages qui reçoivent le plus de liens internes sont celles qui ciblent les mots clés les plus importants pour le site?";Échoué;;Screaming Frog;"30 URL(s) concernée(s)";Maillage interne;30
11;TRUE;"Existe-t-il des pages orphelines?";Échoué;;Screaming Frog;"10 URL(s) concernée(s)";Maillage interne;10
12;TRUE;"Existe t-il des pages avec une balise <title> manquante";Échoué;;Screaming Frog;"73 URL(s) concernée(s)";Title;73
13;TRUE;"Y'a t-il des pages avec balises <title> dupliquées?";Échoué;;Screaming Frog;"153 URL(s) concernée(s)";Title;153
14;TRUE;"Y'a t-il des pages avec balises Title dont le nombre de pixels est supérieur à 512?";Échoué;;Screaming Frog;"108 URL(s) concernée(s)";Title;108
15;TRUE;"Y'a t-il des pages avec balises Title possédant moins de 30 caractères";Échoué;;Screaming Frog;"10 URL(s) concernée(s)";Title;10
16;TRUE;"Est-ce que sur les pages les plus importantes, la balise Title inclut une fois le mot clé principal?";Réussi;;Screaming Frog;"Mot clé dans title = signal de pertinence";Title;0
17;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé est placé au début dans la balise Title?";Réussi;;Screaming Frog;"Mot clé en début de title = meilleur impact";Title;0
18;TRUE;"Y'a t-il des pages ayant une balise meta description manquante ou vide";Échoué;;Screaming Frog;"107 URL(s) concernée(s)";Meta Description;107
19;TRUE;"Y'a t-il des pages ayant une balise meta description dupliquée?";Échoué;;Screaming Frog;"127 URL(s) concernée(s)";Meta Description;127
20;TRUE;"Y'a t-il des pages dont la balise meta description contient plus de 835 pixels?";Échoué;;Screaming Frog;"311 URL(s) concernée(s)";Meta Description;311
21;TRUE;"Y'a t-il des pages avec une balise meta description possédant moins de 70 caractères";Échoué;;Screaming Frog;"9 URL(s) concernée(s)";Meta Description;9
22;TRUE;"Est-ce que sur les pages les plus importantes, la balise Meta description contient le mot clé principal?";Échoué;;Screaming Frog;"10 URL(s) concernée(s)";Meta Description;10
23;TRUE;"Y'a t-il des pages avec balises H1 manquantes ou vides?";Échoué;;Screaming Frog;"110 URL(s) concernée(s)";H1;110
24;TRUE;"Y'a t-il des pages avec des balises H1 identiques / dupliquées";Échoué;;Screaming Frog;"147 URL(s) concernée(s)";H1;147
25;TRUE;"Y'a t-il des pages avec balises H1 dépassant les 70 caractères";Échoué;;Screaming Frog;"39 URL(s) concernée(s)";H1;39
26;TRUE;"Y'a t-il des pages contenant plusieurs balises H1";Réussi;;Screaming Frog;"Un seul H1 par page (bonne pratique)";H1;0
27;TRUE;"Y'a t-il des pages avec balises H2 manquantes ou vides qui devraient pourtant en tirer profit?";Échoué;;Screaming Frog;"83 URL(s) concernée(s)";H2;83
28;TRUE;"Y'a t-il des pages avec balises H2 dépassant les 70 caractères";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";H2;1
29;TRUE;"Est-ce que les pages importantes sont bien structurées à l'aide des balises Hn?";Échoué;;Screaming Frog;"3 URL(s) concernée(s)";Structure;3
30;TRUE;"Y'a t-il des balises Hn de très petite taille?";Réussi;;Screaming Frog;"Taille de police lisible (min 14px)";Structure;0
31;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans les 100 premiers mots de la page?";Réussi;;Screaming Frog;"Mot clé tôt = signal de pertinence";Contenu;0
32;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé est inclus dans les 150 derniers mots?";Réussi;;Screaming Frog;"Mot clé en conclusion = renforce le thème";Contenu;0
33;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans la balise H1?";Échoué;;Screaming Frog;"24 URL(s) concernée(s)";Contenu;24
34;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans au moins une balise H2?";Échoué;;Screaming Frog;"57 URL(s) concernée(s)";Contenu;57
35;TRUE;"Le site utilise t-il des données structurées?";Échoué;;Screaming Frog;"497 URL(s) concernée(s)";Schema;497
