"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://vintagefrenchart.com/","1","Brocanteur et antiquaire a Castres dans le Tarn. Achetez en ligne des objets vintage, plaques emaillees, luminaires et meubles anciens.","135","824","Indexable",""
"https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","1","Bol en verre de Murano italien par Flavio Poli. Design Sommerso vintage de collection. Verrerie d'art signée.","109","653","Indexable",""
"https://vintagefrenchart.com/categorie-produit/jouets-vintage/","1","Jouet vintage et jeux de Collection Votre brocante en ligne Vintage French Art, située aux alentours de Castres en France, vous présente sa catégorie jouet vintage et de collection. Un jouet ancien, que ce soit un lot de poupée ou une figurine vintage fait appel aux souvenirs de notre enfance.…","295","1782","Indexable",""
"https://vintagefrenchart.com/boutique/","1","Explorez notre boutique d'art vintage français. Affiches, illustrations et œuvres originales soigneusement sélectionnées. Pièces uniques et authentiques pour décorer votre intérieur.","182","1105","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","1","Ancienne plaque émaillée ODO double face. Publicité vintage d'horlogerie pour collectionneurs. Pièce authentique et rare.","121","740","Indexable",""
"https://vintagefrenchart.com/contact/","1","Contactez Vintage French Art pour une estimation gratuite, un achat ou une question. Brocanteur et antiquaire dans le Tarn a Castres.","133","828","Indexable",""
"https://vintagefrenchart.com/brocante-castres/","1","Tout savoir sur la brocante a Castres : marches d'antiquites, foires, brocanteurs locaux et histoire du marche aux puces castrain. Guide complet.","145","886","Indexable",""
"https://vintagefrenchart.com/cart/","0","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/presentation/","1","Vintage French Art : brocanteur et antiquaire passionne base dans le Tarn. Notre histoire, notre passion pour les objets vintage et anciens.","140","848","Indexable",""
"https://vintagefrenchart.com/conditions-generales-vente/","1","Conditions générales de vente de la brocante en ligne Castraise Vintage French Art","82","507","Non indexable","noindex"
"https://vintagefrenchart.com/categorie-produit/assises/","1","Votre brocante proche de Castres Vintage French Art, vous propose   tout ce qui est relatif aux assises. Les canapés, les banquettes, les tabourets, chaises et fauteuils  sont des pièces maîtresses de notre décoration intérieure, qui reflètent notre personnalité et notre sens de l’hospitalité. L’univers des assises est riche et varié…","336","1989","Indexable",""
"https://vintagefrenchart.com/conditions-generales-utilisation/","1","Ici vous trouverez les conditions générales d'utilisation de Vintage French Art la brocante en ligne de Castres dans le Tarn (81) et toute la France.","149","886","Non indexable","noindex"
"https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/","1","Objets d’Art et décoration Mon métier de brocanteur à Castres me permet de chiner (achat d’objets anciens) et revendre des objets d’art contemporain, des objets du XVIIe siècle,  XVIIIe siècle, XIXe siècle et XXe siècle. Je suis un passionné d’art dans sa globalité (tableaux, sculpture, statue, le design moderne …).…","318","1912","Indexable",""
"https://vintagefrenchart.com/foire-aux-questions/","1","Foire aux questions : réponses a vos questions sur la brocante en ligne, les estimations, la livraison et l'achat d'antiquités chez Vintage French Art.","151","893","Indexable",""
"https://vintagefrenchart.com/my-account/woo-wish-list/","0","","0","0","Non indexable","noindex"
