N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
1;TRUE;"Si le site contient des catégories et sous-catégories, est-ce que l'architecture des URLs est en harmonie avec l'architecture de la navigation ?";Réussi;;Screaming Frog;"Vérifier la cohérence entre structure URL et menu";Architecture;0
2;TRUE;"Est-ce que certaines pages ne méritent pas d'exister (et de faire partie de la navigation) ?";Réussi;;Screaming Frog;"Identifier les pages à faible valeur SEO";Architecture;0
3;TRUE;"S'il y a une navigation à facettes ou avec filtres et si cela génère des URLs uniques, est-ce qu'une url canonique est déclarée?";Réussi;;Screaming Frog;"Éviter le contenu dupliqué des filtres";Architecture;0
4;TRUE;"Si le site utilise un système de pagination, est-ce que certaines pages paginées retournent un code réponse différent de 200 ?";Réussi;;Screaming Frog;"Toutes les pages paginées doivent être accessibles";Pagination;0
5;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien ordonnées (N-1 > N > N+1)?";Réussi;;Screaming Frog;"Vérifier la logique de navigation entre pages";Pagination;0
6;TRUE;"Si le site utilise un système de pagination, est-ce que les instructions prev/next indiquent bien qu'une seule URL précédent et suivante?";Réussi;;Screaming Frog;"Rel prev/next pour optimiser le crawl";Pagination;0
7;TRUE;"Si le site utilise un système de pagination, est-ce que chaque page paginée indique correctement l'URL canonique (self canonical)?";Réussi;;Screaming Frog;"Self-referencing canonical sur chaque page";Pagination;0
8;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien en index, follow?";Réussi;;Screaming Frog;"Éviter noindex sur pages paginées";Pagination;0
9;TRUE;"Est-ce que certaines pages sont trop profondes (au delà de 3 clics à partir de la page d'accueil)?";Réussi;;Screaming Frog;"Pages à plus de 3 clics = faible autorité";Maillage interne;0
10;TRUE;"Est-ce que les pages qui reçoivent le plus de liens internes sont celles qui ciblent les mots clés les plus importants pour le site?";Réussi;;Screaming Frog;"Optimiser le PageRank interne vers pages stratégiques";Maillage interne;0
11;TRUE;"Existe-t-il des pages orphelines?";Réussi;;Screaming Frog;"Pages sans liens internes = non découvrables";Maillage interne;0
12;TRUE;"Existe t-il des pages avec une balise <title> manquante";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Title;1
