"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.komut.be/nl_BE","1","KOMUT fietsen | Fietsenwinkels en reparaties in Brussel","55","499","Indexable",""
"https://www.komut.be/en_GB","1","KOMUT bikes | Bicycle stores and repairs in Brussels","52","466","Indexable",""
"https://www.komut.be/nl_BE/tern","1","Tern Bikes | Vélo cargo et compact électrique à Bruxelles | Komut Bike","70","625","Indexable",""
"https://www.komut.be/nl_BE/shop/all-brands","1","Nos marques | Komut","19","194","Indexable",""
"https://www.komut.be/nl_BE/appointment","1","Rendez-vous réparation vélo & atelier | Komut Bikes Bruxelles","61","547","Indexable",""
"https://www.komut.be/nl_BE/blog/actualites-22","1","Actualités | Komut","18","165","Indexable",""
"https://www.komut.be/nl_BE/aide/faq-retours-remboursements","1","FAQ - Retours & Remboursements | Komut","38","379","Indexable",""
"https://www.komut.be/nl_BE/shop/cart","1","Shopping Cart | Komut","21","201","Indexable",""
"https://www.komut.be/nl_BE/chike","1","Chike | Komut","13","125","Indexable",""
"https://www.komut.be/nl_BE/outlet-velos","1","Outlet | Promo | Vélos | Komut","30","270","Indexable",""
"https://www.komut.be/nl_BE/nos-magasins","1","Onze Winkels | Komut","20","196","Indexable",""
"https://www.komut.be/nl_BE/financement","1","Financement vélo électrique & cargo | Komut Bikes Bruxelles","59","540","Indexable",""
"https://www.komut.be/nl_BE/assurances-velos","1","Assurance vélo électrique & cargo | Komut Bikes Bruxelles","57","517","Indexable",""
"https://www.komut.be/nl_BE/entretien-et-reparations","1","Entretien et réparation vélo à Bruxelles | Ateliers Komut Bikes","63","548","Indexable",""
"https://www.komut.be/nl_BE/isy","1","i:SY | Komut","12","109","Indexable",""
"https://www.komut.be/nl_BE/kona","1","Kona | Komut","12","121","Indexable",""
"https://www.komut.be/nl_BE/offers","1","Deals | Komut","13","125","Indexable",""
"https://www.komut.be/nl_BE/terms","1","Terms & Conditions | Komut","26","250","Indexable",""
"https://www.komut.be/nl_BE/aide/faq-paiement","1","FAQ - Paiement | Komut","22","216","Indexable",""
"https://www.komut.be/nl_BE/brompton","1","Brompton | Vélo pliant haut de gamme chez Komut Bikes Bruxelles","63","596","Indexable",""
"https://www.komut.be/nl_BE/lovens","1","Lovens | Komut","14","139","Indexable",""
