N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
1;TRUE;"Si le site contient des catégories et sous-catégories, est-ce que l'architecture des URLs est en harmonie avec l'architecture de la navigation ?";Réussi;;Screaming Frog;"Vérifie que la structure des URLs reflète la hiérarchie de navigation. Exemple: /produits/chaussures/basket devrait correspondre au menu Produits > Chaussures > Basket. Une incohérence peut nuire à l'UX et au SEO.";Architecture;0
2;TRUE;"Est-ce que certaines pages ne méritent pas d'exister (et de faire partie de la navigation) ?";Réussi;;Screaming Frog;"Identifie les pages avec faible contenu (<100 mots), peu de liens entrants (<2) et sans valeur stratégique. Ces pages diluent le link juice et doivent être supprimées ou consolidées.";Architecture;0
3;TRUE;"S'il y a une navigation à facettes ou avec filtres et si cela génère des URLs uniques, est-ce qu'une url canonique est déclarée?";Réussi;;Screaming Frog;"Les filtres (couleur, taille, prix) créent des URLs dupliquées. Sans canonical, Google indexe des dizaines de variations de la même page = duplicate content. La canonical doit pointer vers la page principale.";Architecture;0
4;TRUE;"Si le site utilise un système de pagination, est-ce que certaines pages paginées retournent un code réponse différent de 200 ?";Réussi;;Screaming Frog;"Les pages paginées (page/2, page/3...) doivent retourner HTTP 200. Un code 404, 301 ou autre indique un problème technique qui empêche Google d'explorer ces pages.";Pagination;0
5;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien ordonnées (N-1 > N > N+1)?";Réussi;;Screaming Frog;"La pagination doit suivre un ordre logique. La page 2 doit avoir un lien 'prev' vers la page 1 et 'next' vers la page 3. Un saut ou une inversion perturbe l'exploration.";Pagination;0
6;TRUE;"Si le site utilise un système de pagination, est-ce que les instructions prev/next indiquent bien qu'une seule URL précedent et suivante?";Réussi;;Screaming Frog;"Chaque page paginée doit avoir UN SEUL lien rel='prev' et UN SEUL rel='next'. Plusieurs liens créent une confusion pour Google qui ne sait plus quelle est la vraie séquence.";Pagination;0
7;TRUE;"Si le site utilise un système de pagination, est-ce que chaque page paginée indique correctement l'URL canonique (self canonical)?";Réussi;;Screaming Frog;"Chaque page paginée doit avoir un self-canonical (la page 2 pointe vers la page 2). Si elle pointe vers la page 1, Google ne l'indexera pas correctement.";Pagination;0
8;TRUE;"Si le site utilise un système de pagination, est-ce que les pages paginées sont bien en index, follow?";Réussi;;Screaming Frog;"Les pages paginées doivent être indexables (index, follow). Un noindex empêche Google de découvrir les produits/articles des pages suivantes.";Pagination;0
9;TRUE;"Est-ce que certaines pages sont trop profondes (au délà de 3 clics à partir de la page d'accueil)?";Réussi;;Screaming Frog;"Les pages à plus de 3 clics de l'accueil reçoivent moins de 'link juice' et sont moins souvent explorées. Réorganiser la navigation ou ajouter des liens internes depuis la home.";Structure du site;0
10;TRUE;"Est-ce que les pages qui reçoivent le plus de liens internes sont celles qui ciblent les mots clés les plus importants pour le site?";Réussi;;Screaming Frog;"Les pages stratégiques (mots clés à fort volume) doivent recevoir le plus de liens internes. Si une page 'Contact' a plus de liens qu'une page produit, le maillage est à revoir.";Mots clés;0
11;TRUE;"Existe-t-il des pages orphelines?";Réussi;;Screaming Frog;"Une page orpheline n'a aucun lien interne pointant vers elle. Google ne peut pas la découvrir via le crawl. Ajouter des liens depuis le menu, le footer ou des articles connexes.";Structure du site;0
12;TRUE;"Existe t-il des pages avec une balise <title> manquante";Échoué;;Screaming Frog;"Le title est le facteur #1 de SEO on-page. Sans title, Google affiche une URL ou un texte générique dans les résultats. Impact négatif majeur sur le CTR. | 1 URL(s) concernée(s)";Problèmes On-page;1
13;TRUE;"Y'a t'il des pages avec balises <title> dupliquées?";Réussi;;Screaming Frog;"Des titles identiques sur plusieurs pages créent du duplicate content. Google ne sait pas laquelle privilégier. Chaque page doit avoir un title unique.";Problèmes On-page;0
14;TRUE;"Y'a t'il des pages avec balises Title dont le nombre de pixels est supérieur à 512?";Réussi;;Screaming Frog;"Au-delà de 512px, Google tronque le title dans les résultats (affiche '...'). L'information importante doit être dans les premiers caractères.";Problèmes On-page;0
15;TRUE;"Y'a t'il des pages avec balises Title possédant moins de 30 caractères";Échoué;;Screaming Frog;"Un title trop court (<30 caractères) manque d'informations et gaspille l'espace disponible. Objectif: 50-60 caractères avec le mot clé principal inclus. | 2 URL(s) concernée(s)";Problèmes On-page;2
16;TRUE;"Est-ce que sur les pages les plus importantes, la balise Title inclut une fois le mot clé principal?";Réussi;;Screaming Frog;"Le mot clé principal doit apparaître dans le title. C'est le signal le plus fort pour Google. Sans cela, la page sera difficile à positionner sur ce terme.";Mots clés;0
17;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé est placé au début dans la balise Title?";Réussi;;Screaming Frog;"Placer le mot clé au début du title maximise son poids SEO. Si le title commence par le nom de marque, le mot clé perd en importance.";Mots clés;0
18;TRUE;"Y'a t'il des pages ayant une balise meta description manquante ou vide";Échoué;;Screaming Frog;"Sans meta description, Google génère un extrait automatique (souvent mal adapté). Une description optimisée augmente le CTR de 5-10% en moyenne. | 4 URL(s) concernée(s)";Problèmes On-page;4
19;TRUE;"Y'a t'il des pages ayant une balise meta description dupliquée?";Réussi;;Screaming Frog;"Des descriptions identiques sur plusieurs pages nuisent à l'unicité des résultats. Google peut ignorer la description et afficher un extrait du contenu à la place.";Problèmes On-page;0
20;TRUE;"Y'a t'il des pages dont la balise meta description contient plus de 835 pixels?";Échoué;;Screaming Frog;"Au-delà de 835px, la description est tronquée avec '...'. L'appel à l'action et les infos clés doivent apparaître avant cette limite. | 1 URL(s) concernée(s)";Problèmes On-page;1
21;TRUE;"Y'a t'il des pages avec une balise meta description possédant moins de 70 caractères";Réussi;;Screaming Frog;"Une description trop courte (<70 caractères) ne remplit pas l'espace disponible dans les résultats. Objectif: 130-155 caractères avec CTA.";Problèmes On-page;0
22;TRUE;"Est-ce que sur les pages les plus importantes, la balise Meta description contient le mot clé principal?";Échoué;;Screaming Frog;"Le mot clé dans la description est mis en gras par Google dans les résultats. Cela augmente la visibilité et le CTR. Si absent, l'incitation au clic est plus faible. | 2 URL(s) concernée(s)";Mots clés;2
23;TRUE;"Y'a t'il des pages avec balises H1 manquantes ou vides?";Échoué;;Screaming Frog;"Le H1 est le titre principal de la page. Sans H1, Google comprend mal le sujet. Chaque page doit avoir UN H1 unique décrivant son contenu. | 4 URL(s) concernée(s)";Problèmes On-page;4
24;TRUE;"Y'a t'il des pages avec des balises H1 identiques / dupliquées";Réussi;;Screaming Frog;"Des H1 identiques sur plusieurs pages signalent un duplicate content potentiel. Chaque page doit avoir un H1 spécifique à son contenu.";Problèmes On-page;0
25;TRUE;"Y'a t'il des pages avec balises H1 dépassant les 70 caractères";Réussi;;Screaming Frog;"Un H1 trop long (>70 caractères) dilue le message principal et peut être tronqué sur mobile. Privilégier un H1 concis avec le mot clé principal.";Problèmes On-page;0
26;TRUE;"Y'a t'il des pages contenant plusieurs balises H1";Réussi;;Screaming Frog;"Plusieurs H1 sur une même page créent une confusion sur la hiérarchie du contenu. UN seul H1 par page, les sous-titres utilisent H2, H3, etc.";Problèmes On-page;0
27;TRUE;"Y'a t'il des pages avec balises H2 manquantes ou vides qui devraient pourtant en tirer profit?";Échoué;;Screaming Frog;"Les H2 structurent le contenu et améliorent la lisibilité. Une page sans H2 est un bloc de texte difficile à scanner. Utiliser les H2 pour les sections principales. | 4 URL(s) concernée(s)";Problèmes On-page;4
28;TRUE;"Y'a t'il des pages avec balises H2 dépassant les 70 caractères";Réussi;;Screaming Frog;"Un H2 trop long perd en impact visuel. Les sous-titres doivent être concis et contenir des mots clés secondaires si pertinent.";Problèmes On-page;0
29;TRUE;"Est-ce que les pages importantes sont bien structurées à l'aide des balises Hn?";Échoué;;Screaming Frog;"La hiérarchie H1 > H2 > H3 doit être logique. Ne pas sauter de niveaux (H1 vers H3). Cette structure aide Google à comprendre l'organisation du contenu. | 3 URL(s) concernée(s)";Structure;3
30;TRUE;"Y'a t'il des balises Hn de très petite taille?";Réussi;;Screaming Frog;"Des titres trop petits (ex: 12px) nuisent à la lisibilité et l'accessibilité. Taille recommandée: H1 24-32px, H2 18-24px, H3 16-20px.";Structure;0
31;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans les 100 premiers mots de la page?";Réussi;;Screaming Frog;"Le mot clé dans l'introduction renforce la pertinence. Google accorde plus d'importance au début du contenu. Éviter les introductions vides de sens.";Mots clés;0
32;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé est inclus dans les 150 derniers mots?";Réussi;;Screaming Frog;"Le mot clé en conclusion renforce le thème de la page. La conclusion doit résumer le contenu et rappeler le sujet principal.";Mots clés;0
