"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.reefperfumes.fr/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","1","Découvrez Reef n°1 classique 100ml de Reef Perfumes, REEF30 est plus qu'un parfum, c'est une affirmation de soi, un héritage que l'on porte avec fierté.","152","932","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-classique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-alula-edp-100ml-parfum/","1","Découvrez Arabes de Alula de 100ml de Reef Perfumes, un parfum envoûtant qui puise son inspiration dans les paysages grandioses et l'histoire.","142","889","Indexable",""
"https://www.reefperfumes.fr/produit/niche-1-edp-50ml-parfum/","1","Découvrez Niche n°1 de 50ml de Reef Perfumes, une œuvre d'art qui transforme et marque les esprits pour ceux qui osent défier les conventions et s'affirmer.","156","962","Indexable",""
"https://www.reefperfumes.fr/produit/reef-2-edp-100ml-parfum-classique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/politique-de-confidentialite/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/cartes-cadeaux/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-meres-31-edp-50ml-parfum/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-diriyah-edp-100ml-parfum/","1","Découvrez Arabes de Diriyah de 100ml de Reef Perfumes, Ce parfum envoûtant évoque le patrimoine culturel de la ville et l'énergie palpitante de son présent,","156","955","Indexable",""
"https://www.reefperfumes.fr/produit/reef-10-edp-100ml-parfum-classique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/rose-dete-edp-100ml-parfum/","1","Découvrez Rose d'été de 100ml de Reef Perfumes, un parfum envoûtant mariant la fraîcheur de la poire juteuse à la chaleur de l'ambre et du bois de santal.","154","947","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-mini/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/politique-dexpedition/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/brume-pour-cheveux-et-corps/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/nos-offres/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-19-edp-100ml-parfum-classique/","1","Découvrez REEF n° 19 de 100 ml de Reef Perfumes, qui est fabriqué dans la plus pure tradition arabe et conçu par des parfumeurs français de renom.","146","916","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-ete/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-27-edp-100ml-parfum-classique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/a-propos/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/liste-de-souhaits/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-21-edp-100ml-parfum-classique/","1","Découvrez REEF n° 21 de 100 ml de Reef Perfumes, qui incarne un savoir-faire minutieux hérité de la tradition arabe, et les expertes de parfumeurs français.","156","952","Indexable",""
"https://www.reefperfumes.fr/produit/jaune-dete-edp-100ml-parfum/","1","Découvrez Jaune d'été de 100ml de Reef Perfumes, un parfum vibrant vers un paradis estival, qui capturant l'essence même de l'été à soszénith .","143","885","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-obaiah-edp-100ml-parfum/","1","Découvrez Arabes de Obaiah de 100ml de Reef Perfumes, un parfum digne de la royauté, qui saisit l'essence de la confiance et de la grâce.","137","845","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-tuwaiq-edp-100ml-parfum/","1","Découvrez Arabes de Tuwaiq de 100ml de Reef Perfumes, un parfum qui capture l'essence de ses paysages variés et de son histoire riche.","134","843","Indexable",""
"https://www.reefperfumes.fr/produit/niche-4-edp-50ml-parfum/","1","Découvrez Niche n°4 de 50ml de Reef Perfumes, redéfinit l'essence même du parfum, se transformant en une caresse chaleureuse lors d'une journée d'automne .","155","982","Indexable",""
"https://www.reefperfumes.fr/mon-compte/","0","","0","0","Non indexable","noindex"
"https://www.reefperfumes.fr/contact/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/conditions-dutilisation/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/boutique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-de-niche/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/recif-33-edp-100ml-parfum-classique/","1","Découvrez REEF n° 33 de 100 ml de Reef Perfumes, et plongez-vous dans l'ambiance envoûtante d'une nuit de novembre où chaque parfum devient une histoire.","153","982","Indexable",""
"https://www.reefperfumes.fr/produit/niche-2-edp-50ml-parfum/","1","Découvrez Niche n°2 de 50ml de Reef Perfumes, Niche 2 est le reflet de l'exclusivité, prouvant l'excellence de l'art parfumier et de votre discernement.","152","904","Indexable",""
"https://www.reefperfumes.fr/conditions-generales-de-vente/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/panier/","0","","0","0","Non indexable","noindex"
"https://www.reefperfumes.fr/produit/reef-6-edp-100ml-parfum-classique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-11-edp-100ml-parfum-classique/","1","Découvrez REEF n° 11 de 100 ml de Reef Perfumes, une invitation à savourer les petits émerveillements de la vie quotidienne.","124","763","Indexable",""
"https://www.reefperfumes.fr/produit/reef-42-edp-100ml-parfum-classique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/politique-de-remboursement/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/tiffany-dete-edp-100ml-parfum/","1","Découvrez Tiffany d'été de 100ml de Reef Perfumes, un parfum envoûtant qui capture à la perfection l'énergie dynamique et la quiétude relaxante .","145","897","Indexable",""
"https://www.reefperfumes.fr/produit/reef-33-blanc-edp-100ml-parfum-classique/","1","Découvrez REEF n° 33 de 100 ml de Reef Perfumes, et plongez-vous dans l'ambiance envoûtante d'une nuit de novembre où chaque parfum devient une histoire.","153","982","Indexable",""
"https://www.reefperfumes.fr/mon-compte/lost-password/","0","","0","0","Non indexable","Canonisé,noindex"
"https://www.reefperfumes.fr/categorie-produit/collection-arabic/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/reef-perfumes/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/force-200ml/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/blanc-breath-150ml/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/blanc-nomad-150ml/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/volcano-200ml/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-36-edp-100ml-parfum-classique/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-31-edp-50ml-parfum/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-33-edp-100ml-parfum-classique-copie/","1","Découvrez REEF 33 de Reef Perfumes, et plongez-vous dans l'ambiance envoûtante d'une nuit de novembre où chaque parfum devient une histoire.","140","903","Indexable",""
"https://www.reefperfumes.fr/produit/mini-reef-33-edp-15ml-parfum-classique/","1","Découvrez Mini REEF n° 33 de 15ml de Reef Perfumes, et portez le pour toutes les occasions, des moments spéciaux aux instants de la vie quotidienne.","148","924","Indexable",""
"https://www.reefperfumes.fr/produit/mini-reef-11-edp-15ml-parfum-classique/","1","Découvrez Mini REEF n° 11 de 15ml de Reef Perfumes, une expérience envoûtante que vous pouvez emporter partout avec vous.","121","787","Indexable",""
"https://www.reefperfumes.fr/produit/blanc-ash/","0","","0","0","Indexable",""
"https://www.reefperfumes.fr/produit/1-achete-le-2eme-a-20e/","0","","0","0","Indexable",""
