"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.komut.be/nl_BE","1","De fietswinkel en de lifestyle voor fietsers. Verkoop van fietsen en fietsaccessoires voor alle seizoenen, reparatie van alle merken, speciale diensten.","152","899","Indexable",""
"https://www.komut.be/nl_BE/tern","1","Découvrez les vélos électriques Tern chez Komut Bikes à Bruxelles : GSD, HSD, Quick Haul Long, Quick Haul et Orox. Cargo et pliants électriques disponibles à Uccle, Saint-Gilles et Stockel.","189","1139","Indexable",""
"https://www.komut.be/en_GB","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/blog/actualites-22","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/appointment","1","Prenez rendez-vous en ligne pour la réparation ou l’entretien de votre vélo chez Komut Bikes à Bruxelles. Choisissez votre magasin, votre créneau et recevez une confirmation immédiate.","184","1135","Indexable",""
"https://www.komut.be/nl_BE/aide/faq-retours-remboursements","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/shop/all-brands","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/yuba","1","Yuba, le pionnier du vélo rallongé. Une super marque franco-américaine qui se spécialise dans les vélos rallongés, aussi connus sous le nom de longtails.","153","931","Indexable",""
"https://www.komut.be/nl_BE/nos-services","1","Découvrez tous les services Komut Bikes à Bruxelles : essai vélo, réparation & SAV, leasing, financement, assurance et carte cadeau. Uccle, Saint-Gilles et Stockel.","164","987","Indexable",""
"https://www.komut.be/nl_BE/cannondale","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/veloe","1","Découvrez les vélos cargo Veloe Multi chez Komut Bikes à Bruxelles : puissants, compacts et modulables, parfaits pour les familles et les trajets urbains.","154","931","Indexable",""
"https://www.komut.be/nl_BE/moustache","1","Découvrez les vélos électriques Moustache : Lundi, Samedi, Dimanche, Xroad et J. Design français, confort et performance chez Komut Bikes Bruxelles.","148","926","Indexable",""
"https://www.komut.be/nl_BE/reprise-velo-electrique","1","Votre ancien vélo électrique vaut de l'argent. Lorsque vous achetez un nouveau vélo électrique, KOMUT reprend votre ancien vélo. Le prix d'achat est la remise que vous obtenez lors de l'achat d'un nouveau vélo électrique.","221","1347","Indexable",""
"https://www.komut.be/nl_BE/bike-43","1","Découvrez les vélos cargos Bike43 : Short, Mid et Long. Assemblés à Bruxelles et disponibles chez Komut Bikes, votre expert vélo cargo en Belgique.","147","903","Indexable",""
"https://www.komut.be/nl_BE/qio","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/faq-expedition-livraison","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/politique-de-confidentialite","0","","0","0","Non indexable","noindex"
"https://www.komut.be/nl_BE/blog/conseils-d-experts-14","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/blog","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/urban-arrow","1","Ontdek ons ​​aanbod voor Urban Arrow fietsen. KOMUT biedt de hoogste kwaliteit Urban Arrow-fietsen die de markt te bieden heeft. De beste autovervanger en zonder compromissen.","175","1114","Indexable",""
"https://www.komut.be/nl_BE/blog/astuces-20","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/aide","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/woom","1","Découvrez les vélos Woom chez Komut Bikes à Bruxelles : des vélos légers, sûrs et évolutifs pour enfants, du Woom 1 au Woom UP électrique.","138","865","Indexable",""
"https://www.komut.be/nl_BE/mentions-legales","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/a-propos","1","Bienvenue chez Komut Bikes, votre destination ultime dédiée à la mobilité et au lifestyle urbain à Bruxelles. Chez Komut, nous croyons en la puissance de la bicyclette pour transformer la manière dont vous vivez, vous déplacez, et interagissez avec la ville.","258","1553","Indexable",""
"https://www.komut.be/nl_BE/muli","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/leasing","1","Profitez du leasing vélo via votre employeur avec Komut Bikes à Bruxelles. Vélos électriques, cargos, pliants ou urbains — entretien et assurance inclus. Uccle, Saint-Gilles et Stockel.","185","1103","Indexable",""
"https://www.komut.be/nl_BE/nous-contacter","1","Contactez Komut Bikes à Bruxelles pour toute question vélo : essai, achat, leasing, financement ou réparation. Nos équipes vous répondent rapidement.","149","933","Indexable",""
"https://www.komut.be/nl_BE/aide/faq-paiement","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/benno","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/lovens","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/brompton","1","Découvrez Brompton : vélos pliants iconiques, électriques ou classiques, ultra compacts et personnalisés. Essais, pièces & service chez Komut Bikes.","148","910","Indexable",""
"https://www.komut.be/nl_BE/kona","0","","0","0","Indexable",""
"https://www.komut.be/nl_BE/offers","0","","0","0","Indexable",""
